,n_estimators,max_depth,min_samples_split,min_samples_leaf,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
40,283.0,5.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824035794383398,2.310068219109746,0.9403156784943267,0.7954251346294815,1.0623863865608323,2.212902595282329,0.9272822350188595,0.7554509825042879,1.0630086360346322,2.222356841370201,0.9361979314078194,0.7871043082597093
41,265.0,5.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824698504848242,2.310729885829004,0.9402990338702346,0.7953654899102921,1.062397567860653,2.2130230807816167,0.9272829747554616,0.7554467645077894,1.0629612519504443,2.222799879074625,0.9361960622543931,0.787061866462427
42,267.0,5.0,7.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082471836345013,2.310716255278349,0.9402968354961203,0.7953666831271049,1.06237490564599,2.2129316067185156,0.9272828793890746,0.7554551873712043,1.0629468931687636,2.2227695146223074,0.9361978474357587,0.7870647752937002
43,246.0,5.0,5.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824647095496056,2.310724256863224,0.9403036161981073,0.7953659728718181,1.0624376418387929,2.2130315136267336,0.9272869906944113,0.7554446727914607,1.0629422199187657,2.222762901995498,0.9362009721084078,0.7870654087652169
44,269.0,5.0,16.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08199318753742,2.3064374455801206,0.940419327641117,0.7957531127288746,1.0623655056490222,2.2116375529843872,0.927335637833116,0.7555652485753289,1.0635009469520327,2.2209806217519605,0.9361961830882759,0.787236146325567
45,235.0,5.0,15.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824220046424815,2.3101097430652486,0.9403150917469305,0.7954216247175909,1.0624449519983834,2.2128631076049214,0.9272822478082039,0.7554555576870271,1.0630366313065884,2.222437631473888,0.9362031395692474,0.7870965687893011
46,109.0,5.0,19.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0815879810785736,2.303331075372163,0.9404945392907009,0.7960321333387528,1.0624190731990175,2.2112354163423613,0.9273446764791282,0.7555821086724973,1.0634011698323718,2.2193286763394324,0.9362066250691106,0.7873943981664823
47,107.0,5.0,19.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817954629689313,2.3047506921676684,0.9404506160560976,0.795904712058567,1.0624072247419263,2.21146519896772,0.9273210854163285,0.7555536439818116,1.0633489948464983,2.2192208044970374,0.9362152101642185,0.787404731993201
48,108.0,5.0,11.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0815983501075777,2.3033477272446525,0.9404903787641369,0.796030828450188,1.0623879266538188,2.2111563432248347,0.9273427407230586,0.7555878463585676,1.063451612953438,2.2195543611145974,0.9361973372019118,0.7873727781838451
49,277.0,5.0,6.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824852277258616,2.31070015516898,0.9402947420737161,0.7953681008794515,1.0623701230510265,2.2129386194379146,0.9272794116989267,0.7554540535984413,1.0629593770934216,2.222837965296626,0.9361901540120867,0.7870582179067911
50,108.0,5.0,19.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08171870693056,2.3041157884733607,0.9404701412273486,0.7959618393073202,1.062339403581196,2.2110675914202575,0.927340060191909,0.7555948930165021,1.0633190821755796,2.2192241567760957,0.9362155393491697,0.7874044108540591
51,279.0,5.0,14.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824148233353585,2.310056915871516,0.9403129835921314,0.7954261414254384,1.0623845207918459,2.212875899484819,0.9272796572375672,0.7554554886587888,1.0630350082182443,2.2224075674087214,0.936193058467046,0.7870994488443089
52,278.0,5.0,6.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824132694023074,2.3100666236351306,0.9403128955270506,0.7954253013093353,1.0623746888833645,2.2128292136464056,0.9272821641574531,0.7554611497820075,1.0630303561324954,2.222339128455461,0.9361972960314708,0.7871060051083729
53,269.0,5.0,8.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08199318753742,2.306437445580121,0.940419327641117,0.7957531127288746,1.0623655056490222,2.211637552984387,0.927335637833116,0.7555652485753288,1.063500946952033,2.2209806217519605,0.9361961830882759,0.787236146325567
54,107.0,5.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816991344725184,2.3040764390415935,0.9404698653552745,0.7959652762888274,1.0623625992396524,2.211165944958295,0.9273347324842847,0.7555866203015015,1.0633407631970722,2.219249914155646,0.9362107818086116,0.7874019433677245
55,276.0,5.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823362018505995,2.3093712680286385,0.9403335239964008,0.7954881247803816,1.0623737306444774,2.212561322959911,0.9272897859401557,0.7554812672647844,1.0632428566770797,2.222508067357761,0.9361844685273898,0.78708982122476
56,270.0,5.0,18.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0820005527701602,2.3064375677907556,0.9404197005747346,0.7957530641612718,1.0623723523551127,2.2117122044878506,0.9273333005418706,0.7555573327611022,1.063511059474376,2.2210400894614466,0.9361943896398517,0.7872304494820577
57,269.0,5.0,9.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0818848167212043,2.305663937744867,0.9404409183593654,0.7958228573228512,1.0623850291905388,2.2116382338421587,0.9273388511140579,0.7555659264746555,1.0634936947458384,2.2207433449877807,0.9361955321667907,0.7872588767889668
58,268.0,5.0,20.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0819966086125268,2.3064361467901926,0.9404187868635774,0.7957532233963747,1.062360611581609,2.211606091937428,0.9273362372440541,0.7555685344047389,1.0634966593970592,2.220924745699636,0.93619821868537,0.7872414990981685
59,110.0,5.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0816916379534198,2.304060990910866,0.940477533108437,0.7959667061746037,1.062367267444254,2.211251953564635,0.9273423667201084,0.7555785565539956,1.0632741269648152,2.2191284770022843,0.9362209062675911,0.787413576714038
60,277.0,5.0,18.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082340027942271,2.309372757394572,0.9403327279213591,0.7954880103682167,1.0623725136271789,2.2125570050956016,0.9272887668620577,0.7554811645969287,1.063245078765003,2.2225428523917143,0.9361818536276847,0.7870864889138872
61,278.0,5.0,3.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824833653554984,2.310699550162973,0.9402948822346012,0.7953681307492022,1.0623790630498184,2.212990695741741,0.9272779392547319,0.75544876886244,1.0629573098564602,2.222883029061043,0.9361895644395671,0.7870539009217239
62,105.0,5.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0817380916893125,2.304080180999811,0.9404702396705718,0.7959649938843709,1.062361195370156,2.211096321160935,0.9273370944567834,0.7555981087716885,1.0633967675589302,2.2194136384865524,0.9362086480279237,0.7873862590257529
63,276.0,5.0,15.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823362018505995,2.309371268028638,0.940333523996401,0.7954881247803816,1.0623737306444774,2.212561322959911,0.9272897859401557,0.7554812672647844,1.0632428566770797,2.222508067357761,0.9361844685273898,0.78708982122476
64,108.0,5.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08171870693056,2.3041157884733607,0.9404701412273486,0.7959618393073202,1.062339403581196,2.2110675914202575,0.927340060191909,0.7555948930165021,1.0633190821755796,2.2192241567760957,0.9362155393491697,0.7874044108540591
65,276.0,5.0,17.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.082411347218507,2.3100670837780437,0.9403135209521627,0.795425255433357,1.0623662309489603,2.2127791721218415,0.9272848239284178,0.7554667281020802,1.0630288786254993,2.222255789718033,0.936200515058367,0.7871139887309052
66,268.0,5.0,2.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824725837639093,2.31071080420025,0.9402980497908785,0.7953671291394105,1.062372580013682,2.2129253773380673,0.927284729277053,0.7554563519576759,1.0629374977512085,2.2227617220046816,0.936198674957573,0.7870655218051016
67,282.0,5.0,16.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0824043575283468,2.3100645035341687,0.9403143380829241,0.7954254725344777,1.0623806316527196,2.212870111324664,0.9272825644607027,0.7554559666167355,1.063003440992683,2.2223104449171953,0.9361981314049238,0.787108752912689
68,275.0,5.0,16.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823358163743508,2.309368720470283,0.9403332533290357,0.7954883866314135,1.0623768857239473,2.212553118846283,0.9272897616489322,0.7554822672608376,1.0632394811413692,2.222497811458437,0.9361837775964142,0.7870908037117939
69,282.0,5.0,14.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823272548526612,2.3093670381930576,0.9403343783204718,0.7954884749631024,1.0623858905988393,2.2126495270707576,0.9272875995509438,0.7554708574892736,1.0632094212837342,2.222523294398113,0.9361831352852378,0.7870883625160466
70,268.0,5.0,17.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0823254508201112,2.309376750190501,0.9403364370498728,0.7954876125085205,1.0623762731561435,2.2125193962177008,0.9272949912089173,0.7554859950428874,1.0631966439538025,2.222407449491016,0.9361915808946293,0.7870994601405018
71,263.0,6.0,5.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993543052031929,1.988389031403629,0.9495714944150202,0.82391047872451,0.9809066222588938,1.923208967044859,0.9382421900522318,0.7886669421000554,0.9776139615591414,1.9290491894320105,0.9458544755696928,0.8152023770710175
72,220.0,6.0,4.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99330696380254,1.9866766873145214,0.9496153186972698,0.824063912515649,0.9811622154713852,1.9238086832437171,0.9382157201096352,0.7885982897194788,0.9778217665147328,1.9289409693128081,0.9458437554404703,0.8152127442616994
73,271.0,6.0,10.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9935538246192644,1.9884138362916257,0.9495700278482289,0.8239081271432331,0.9809211547207933,1.9232397822004312,0.9382368023478282,0.7886556361880632,0.9776488230588345,1.9292770211186945,0.9458462231987405,0.8151805514201437
