,layers,neurons,batch_size,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
374,2.0,45.0,55.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0104837613903652,2.076827549688517,0.946935410400282,0.8160667497610252,0.971301002954857,1.9009455454884665,0.9385709830592384,0.7909914431084972,0.9626438394993868,1.9085674559019572,0.9472473008931062,0.8171644709826472
375,2.0,34.0,72.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009571055775669,2.0803323472018844,0.9475518160616208,0.8157439765853932,0.9729121286625431,1.9030807650842547,0.9393404608023224,0.7905555290022701,0.9754863722562795,1.9189115470027036,0.9458671790545253,0.8161735354185097
376,2.0,34.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0089765127839507,2.0851827983624935,0.9476096492516519,0.8153208821619673,0.9715364673716833,1.9056692322212154,0.9393389360791782,0.790373286780637,0.983919974101932,1.9337280802079124,0.9447090330744732,0.8147541521641215
377,2.0,25.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0125083149089638,2.0763101052506236,0.947106978977796,0.8161026215357098,0.9740737650429121,1.9013201522270888,0.9389879277105007,0.7911265117290365,0.9648608375177534,1.9060252480030035,0.9480914198256059,0.817408007528678
378,2.0,37.0,106.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0095153392577134,2.072000584171541,0.9472498984308773,0.8164853587023917,0.9721732482649463,1.8961961845074813,0.9389233911618675,0.7914604530651103,0.9881460144029736,1.936159061114829,0.9444206151702721,0.8145212708589453
379,3.0,30.0,71.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00581694302293,2.076919236191918,0.9475292518756426,0.8160508703343883,0.9685046323505506,1.9011083762380878,0.9391429768189978,0.7909581178281893,0.9806647889423189,1.9150872292639505,0.9463786569908996,0.816539894571671
380,2.0,40.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0069844754948727,2.0741480979138576,0.9475582848775526,0.8163001084447928,0.9715647011057335,1.9035842943990715,0.9390749802513906,0.7905690760128825,0.9691106943586982,1.9098051762069819,0.9469855199125907,0.817045900771233
381,2.0,39.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0081200988694574,2.0750598064923182,0.9476748263019825,0.8162147030426099,0.9715304504683341,1.9013182907802633,0.939102171099214,0.7908192665326435,0.978533653097775,1.9335004286449318,0.9458408859299872,0.8147759605596385
382,3.0,28.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0087379875050773,2.0734444569187613,0.9478712365735615,0.8163577632379301,0.9717566453250017,1.898825680203882,0.9397154946639897,0.7910847416589082,0.9711433433549447,1.9030845401315664,0.9464919429809038,0.817689719279393
383,2.0,41.0,76.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.007565226099074,2.0760152824860625,0.9475756805640554,0.816128049536016,0.9696338867729937,1.8992821237005777,0.9394038198680775,0.7911304014831919,0.9635502670053236,1.9089504170240563,0.947136659803245,0.8171277843572227
384,3.0,40.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009482971382769,2.0728007427785236,0.9477676654980467,0.816412465785653,0.9717758301554758,1.9012354222473158,0.9395356965392969,0.7909679530049712,0.9656543458010878,1.9057863275547198,0.9472083394845506,0.817430895452508
385,2.0,35.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0099084909545795,2.0759739709567637,0.9481233706958514,0.8161330211722692,0.9724954590353764,1.9008968017711618,0.9398588442790717,0.7909005496924542,0.9694165346299967,1.9158551476307288,0.9471870570806943,0.8164663300977522
386,2.0,37.0,106.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0095153392577134,2.072000584171541,0.9472498984308773,0.8164853587023917,0.9721732482649463,1.8961961845074813,0.9389233911618675,0.7914604530651103,0.9881460144029736,1.936159061114829,0.9444206151702721,0.8145212708589453
387,2.0,37.0,79.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101811230569955,2.0720976643447893,0.9477622185639254,0.8164795964000483,0.9723876005288952,1.894733255082421,0.9396526452480376,0.7915458856612303,0.9715547056862728,1.91826599683767,0.9456950929395339,0.8162353773542328
388,2.0,40.0,124.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0094782707366379,2.0762775909420816,0.9471985583888894,0.8161119403688993,0.9730821869650065,1.902974860431061,0.9389652309395268,0.7908603846945996,0.9771026566493793,1.922575679761523,0.946103000903827,0.8158225215472017
389,2.0,49.0,145.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0122427300016605,2.0727049209980732,0.9474212156189172,0.816424193215872,0.9750056882693372,1.8955193829998263,0.9390868641379145,0.7915875531952126,0.9733358668095102,1.9152585398882884,0.9470013438325765,0.81652348348359
390,2.0,34.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0084782376986534,2.079202249300143,0.9475218182541914,0.8158442888394828,0.9719572529156117,1.9025810552498557,0.9392585172399903,0.7905976307872162,0.9717897623642451,1.9178376288295103,0.9461564900393015,0.8162764138348371
391,2.0,45.0,109.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0086158423755351,2.0711777061263543,0.9472871064560799,0.8165615755622954,0.9704505059164019,1.8952033847393768,0.9390668396069212,0.7915987818648957,0.9621229039481202,1.9108645730907294,0.9475809648528772,0.8169444134546173
392,2.0,41.0,162.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9907662796975361,2.0156870448229043,0.9491351449262204,0.8215033988061426,0.9553447760051765,1.850685179031345,0.9411685653284809,0.7970563424770891,0.948185733554395,1.8505690142097966,0.9495226426660922,0.8227205626660595
393,2.0,46.0,118.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9911455871867967,2.0068237021327846,0.9494374215546109,0.8222743303913929,0.9552132145950571,1.8478309293584942,0.9413473029844658,0.7975510054337906,0.9524957821653988,1.8614106691458463,0.9491292807329185,0.8216819618508111
394,2.0,48.0,121.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9889780962984163,2.00760249256974,0.949542459439982,0.8221980725795119,0.955301120856304,1.8487522355106445,0.9414596553799921,0.7970888333271198,0.96613268398592,1.8679957541105938,0.9470736805819255,0.8210511287673743
395,3.0,33.0,102.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773116981749695,1.9342033684976385,0.9516443982699883,0.8286929203786444,0.9492365404718015,1.7929461286934485,0.9439481553643023,0.8038217296739701,0.9551630395356198,1.8552162928672475,0.9479539496568942,0.8222753661134312
396,2.0,41.0,198.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9837399343069706,1.9822335632072892,0.9498028498797698,0.8244351357873325,0.9513021496306793,1.8232999778060655,0.942081751883157,0.800258349049997,0.9596850754274358,1.8732902354236187,0.9473821261015238,0.8205439319749602
397,2.0,47.0,197.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916208228419676,2.010641177456253,0.9493711740226711,0.8219220216961078,0.9565776168066439,1.8518176153119956,0.9412004591501555,0.7970563996714388,0.9540086486206876,1.8562204510066338,0.9484731824831545,0.8221791705170618
398,3.0,38.0,80.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9677876416604652,1.8807573037721672,0.9532436872023755,0.8334204656998383,0.9446673990525234,1.76663276913877,0.9457423756122183,0.8066801590092638,0.9588643328670609,1.808791955440499,0.9496042909657026,0.8267226903442053
399,2.0,36.0,66.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9708879336766596,1.8934953273233663,0.9523908063931897,0.8322801875212803,0.944970100775963,1.772255217329148,0.9449241301501156,0.8056051421412034,0.9595747842313932,1.8408514063854626,0.9476986282502542,0.8236514828501227
400,2.0,13.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.019012384908911,8.635549066993532,0.5770427263160764,0.2351271405440467,2.163113274703168,9.174363003830788,0.45031132782471567,0.03832048486844333,2.138411420185338,8.512166068516596,0.5137594386278597,0.18455783084423494
401,4.0,31.0,175.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0900286490145532,2.3588871853563536,0.9389255195498838,0.7910882742404846,1.0576381085000963,2.193636374823189,0.9276443506403081,0.7575580421624011,1.0577460066867581,2.214337492334295,0.9363883950795863,0.7878725399084365
