,l1_ratio,P_lag_1,P_lag_2,P_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
360,0.9999689422496594,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746992643194,2.3896534742670106,0.9380072103375531,0.7883628696270696,1.0625707640304198,2.2200235368123473,0.9274396676846768,0.7541421429083459,1.0390600183035383,2.176498796778544,0.9383488226467188,0.7914973831896466
361,0.999961337149814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747023609643,2.389653474670877,0.9380072090083521,0.7883628695913214,1.0625707661425299,2.220023531995528,0.9274396663496154,0.75414214359465,1.039060023879339,2.1764988000960854,0.9383488213013397,0.7914973828718351
362,0.9999617126057304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874702208085,2.3896534746509377,0.9380072090739738,0.7883628695930864,1.0625707660382564,2.2200235322333306,0.9274396664155263,0.7541421435607677,1.0390600236040657,2.1764987999323004,0.9383488213677601,0.7914973828875254
363,0.9998334939881872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09787475442318,2.3896534814622266,0.9380071866611746,0.7883628689901883,1.0625708016522908,2.220023451014123,0.9274396439039059,0.7541421551329833,1.0390601176222618,2.1764988558732705,0.9383487986821689,0.7914973775285338
364,0.9999857411428726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746924243117,2.389653473374966,0.9380072132735504,0.7883628697060285,1.0625707593650973,2.220023547451983,0.9274396706336192,0.7541421413924039,1.0390600059874604,2.176498789450636,0.9383488256184515,0.79149738389164
365,0.9998862812495926,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747329247485,2.389653478657511,0.9380071958891675,0.7883628692384463,1.0625707869889855,2.220023484454095,0.9274396531725868,0.7541421503684039,1.0390600789123106,2.176498832840527,0.9383488080224776,0.7914973797350074
366,0.9998938260883424,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978747298521805,2.3896534782566956,0.9380071972080364,0.7883628692739244,1.0625707848932975,2.220023489233386,0.9274396544972705,0.7541421496874442,1.0390600733798627,2.1764988295487044,0.9383488093573986,0.7914973800503551
367,0.9996933145995824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978748115243988,2.3896534889138747,0.9380071621509651,0.7883628683306088,1.0625708405989742,2.2200233621972565,0.9274396192856253,0.7541421677878155,1.039060220438388,2.1764989170515165,0.9383487738736467,0.7914973716678255
368,0.9999583478336104,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097874703578167,2.389653474829627,0.938007208485881,0.7883628695772698,1.06257076697274,2.2200235301021753,0.9274396658248407,0.7541421438644164,1.0390600260710272,2.1764988014001188,0.9383488207725095,0.7914973827469124
369,0.9999903086584414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978746905645953,2.3896534731324377,0.9380072140718128,0.7883628697274958,1.0625707580966517,2.22002355034478,0.9274396714354013,0.7541421409802366,1.039060002638866,2.176498787458272,0.9383488264264299,0.791497384082503
