,max_depth,min_samples_split,min_samples_leaf,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
404,5.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.428794569748,242.32557669082354,0.9741863219921976,0.9037122187197624,10.321627866204292,234.2260553248444,0.9669834473948578,0.8779441939273125,11.568000229296771,254.02517198705158,0.9773452789621104,0.9181530283912074
405,5.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.635079899509487,248.11138687700446,0.9735169406421638,0.9013907471369597,10.339245476773215,237.204559254089,0.9665323469715579,0.8762676204476355,11.743234875467316,259.38962887633977,0.9770425793333686,0.9164245990891832
406,5.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.428794569748,242.32557669082354,0.9741863219921976,0.9037122187197624,10.321627866204292,234.2260553248444,0.9669834473948578,0.8779441939273125,11.568000229296771,254.02517198705158,0.9773452789621104,0.9181530283912074
407,4.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55113410183326,248.8857144424507,0.9734287898284205,0.9010771358738767,10.350431034743202,234.34385804255874,0.9665997891519731,0.8776093980986064,11.710088729899303,258.4590724176017,0.9767529639390391,0.9167244246043593
408,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.47040629223791,244.19880290188485,0.9739955101927973,0.9030555416538569,10.274735646636321,228.28774391631555,0.9672765104443677,0.8790920618565343,12.551064667382049,289.1002255955976,0.9733758686216497,0.9068518376689672
409,5.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.40003593057159,241.27471091967774,0.9743077603809887,0.9041325786719541,10.354660496410633,235.55194244126858,0.9667852270585344,0.8772630459507604,11.628260555548552,255.2197002164516,0.9772075696596719,0.9177681511079334
410,4.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.561912821390962,249.15087248859197,0.973399025955961,0.9009736423336432,10.330490638528108,233.49576603821345,0.9667319200409052,0.8780043721123171,11.722610097420672,258.93068972529403,0.9767231089518434,0.9165724693942084
411,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.47040629223791,244.19880290188485,0.9739955101927973,0.9030555416538569,10.274735646636321,228.28774391631555,0.9672765104443677,0.8790920618565343,12.551064667382049,289.1002255955976,0.9733758686216497,0.9068518376689672
412,4.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55113410183326,248.8857144424507,0.9734287898284205,0.9010771358738767,10.350431034743202,234.34385804255874,0.9665997891519731,0.8776093980986064,11.710088729899303,258.4590724176017,0.9767529639390391,0.9167244246043593
413,4.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.55113410183326,248.8857144424507,0.9734287898284205,0.9010771358738767,10.350431034743202,234.34385804255874,0.9665997891519731,0.8776093980986064,11.710088729899303,258.4590724176017,0.9767529639390391,0.9167244246043593
