,n_estimators,max_depth,min_samples_split,min_samples_leaf,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
21,295.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206538903290332,236.3561010316223,0.9747682648687345,0.9061239923432607,9.893082010102853,218.82114181535766,0.9690522752835191,0.8861583668317421,11.583788320282595,241.9671692730024,0.9782578841357391,0.9220381197704421
22,186.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206114905979767,236.18154057479643,0.9747749043216618,0.9061873067095338,9.897453090724124,218.97402146992067,0.9689831929485847,0.8860006076446321,11.583149388475595,242.40004291244537,0.9781813412563141,0.9218986477795346
23,289.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206641578919442,236.33078044594805,0.9747688387255798,0.9061328387183618,9.893256018647472,218.83123780801316,0.9690509442781272,0.8861501565525312,11.587682439670063,242.0996323939699,0.9782425319312162,0.9219954401209561
24,186.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206114905979767,236.18154057479643,0.9747749043216618,0.9061873067095338,9.897453090724124,218.97402146992061,0.9689831929485847,0.8860006076446323,11.583149388475595,242.4000429124453,0.9781813412563142,0.9218986477795346
25,293.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.206439135615812,236.3483268559409,0.9747673439773497,0.9061262856083582,9.893045287330713,218.79341981653312,0.9690568497825383,0.8861808798229114,11.586688302392464,242.08680058092787,0.9782428249282791,0.9219995745342094
26,196.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.209832634371445,236.206692638049,0.974774245751128,0.9061778346149914,9.898622809886588,219.18541102098612,0.9689667612710939,0.8859415727788029,11.593178523790693,242.5441687583569,0.9781771881563719,0.9218522103972621
27,217.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.213093459253768,236.2820020540924,0.9747538867128289,0.9061510684515962,9.902472513458813,218.89318096255764,0.9689986400456652,0.8861190504923973,11.608964314764947,242.72804886872476,0.9781454336803205,0.9217929641814049
28,267.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.180691302866375,233.25303851106025,0.9751059871254093,0.907328119837403,9.90805843479859,219.77188649065627,0.9688763384932327,0.885193323545789,11.636013651969208,244.43499112346478,0.9779983824286426,0.9212429869757259
29,280.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.179308136660307,233.2480948760619,0.9751042782850912,0.9073317225100495,9.907894223524277,219.92019066850202,0.9688575789655316,0.8850991096003353,11.637418244353505,244.6132775741164,0.977985467016648,0.9211855430383769
30,205.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21328091079559,236.23677137921598,0.9747622671679683,0.9061665323982501,9.903220133887341,219.23195247530094,0.968950393258766,0.8859369702259707,11.611337283734908,243.13736904584755,0.9781147189392699,0.9216610811217308
31,294.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.116388145202299,224.54410564967517,0.9760220626856433,0.9107247196493762,10.052902307092918,226.1322936603365,0.9679559702772884,0.8813568248011945,11.702686164912006,247.8407793607046,0.9776856300028726,0.9201456411852342
32,268.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.180379760298349,233.251731678771,0.9751049790899562,0.9073282172837742,9.906539062071026,219.70928510788954,0.9688847164297563,0.8852260402108286,11.63308146371713,244.3443005306878,0.9780076107762617,0.921272207506566
33,239.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.214336748882468,236.3702783309232,0.9747555061230804,0.9061164006982384,9.905205924528225,218.9939367537486,0.9690075957741666,0.886068177539953,11.580586758170744,242.1298513532647,0.9782132973025891,0.9219857035649917
34,293.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3627241693224414,121.8086551219474,0.9872921377775925,0.951638093545612,8.491230847146149,160.14348264200947,0.977644629986293,0.9151279262312624,9.600426928125003,173.00536116843264,0.9854236671786634,0.9442576309546071
35,232.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3696060900682365,121.55819841419887,0.9873156197225724,0.951734554617234,8.493298402278382,160.4526839522011,0.9775979640740717,0.9149537892997373,9.604719471570125,173.70449191069522,0.985370909475347,0.9440323708610299
