,layers,neurons,batch_size,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
193,3.0,18.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.970430259362862,272.979465266592,0.9707813587618708,0.8915927496228528,9.712368623233946,203.81454438378856,0.9706839623864458,0.8918913030096876,10.82262394889634,217.25346210621046,0.9808091582273141,0.930000882173105
194,4.0,34.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.676456552045831,252.1326738131936,0.973143344018976,0.89967740766006,9.611933799158189,204.00050783403236,0.9707645907988292,0.8908583503776506,10.574017982289622,202.17347949485094,0.9821941401107082,0.934859656203247
195,4.0,37.0,31.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.642178547252275,249.18310271310816,0.9734335334835438,0.9008636773921425,9.627166262100598,198.910635286398,0.9714378778715217,0.894065366367265,11.374489153845381,229.13849278967893,0.9796662045514409,0.9261715224237922
196,4.0,10.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.883349984449216,260.5286521348608,0.9718830421727419,0.8963876145318472,9.557493009866606,200.13515218831148,0.9715007485458547,0.89396587081919,10.90979165136245,216.9633446272051,0.9808286980699291,0.9300943580947296
197,4.0,33.0,14.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.290584086580726,230.7801067376812,0.9752386613482986,0.9080538239020911,9.596458467517289,197.8709742186749,0.9715594322795349,0.8938768770750958,10.523331467320629,205.64599463398565,0.982235902235517,0.9337408109888902
198,4.0,36.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53662448795421,237.46746032267401,0.9743825464185452,0.9055226805510246,9.58151499784894,198.66045908978953,0.9711222275056907,0.8933137834420389,10.54550661748362,206.46798236075497,0.9819805208733209,0.9334759663453086
199,4.0,30.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.591227377481626,249.13932074680764,0.9732930722873661,0.9008498405653438,9.596513195223684,198.97733838068737,0.9714756866271598,0.8942547583535521,10.355373744533587,201.23439524071028,0.9828245662484739,0.9351622293761561
200,2.0,15.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.721681541849613,610.3021870871137,0.9198587372842438,0.7326208552849881,14.923633567491237,501.1537506912965,0.9225878104515808,0.7687108689648909,13.710027120507409,351.93739553406186,0.9677346112966291,0.8866056863773444
201,3.0,47.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.049377259788603,272.89587348016596,0.9707231772718685,0.891672256791409,9.850870171833439,206.74230127886884,0.9699943925038521,0.8905468948637576,11.086130423541313,217.69773621385266,0.9807674320744373,0.9298577369485972
202,1.0,34.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.069614759727441,276.4238436824311,0.969941140649145,0.8899020869719952,9.899281108113504,207.16714985570803,0.9697323447946986,0.8906233137616333,10.965201214540306,216.10666070620385,0.980872619292929,0.9303703818604511
203,1.0,47.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.032957693782937,274.61757310089365,0.9703349847001119,0.8908748658967474,9.78687283748791,204.27003824108797,0.9702541790578381,0.8914310434206423,10.958890520761798,216.69655159740822,0.9807340402658157,0.9301803188732005
204,4.0,40.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.084762554143808,273.32347538243005,0.9706506982749941,0.8913972201620955,9.895119574296839,206.44780328411426,0.970046516572759,0.8906579177315064,10.94252367619613,217.31216664534665,0.980767215394945,0.9299819675564533
205,3.0,36.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.254665029240794,279.5796316023741,0.9701523485754239,0.8890467737618919,10.114396392657792,214.23939514128637,0.9688152506300505,0.8865463717445576,10.892722079207628,218.2230841997895,0.9806045207688282,0.9296884697009722
206,1.0,20.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.027928931983292,276.7101011227511,0.9702584265203518,0.8898097970754109,9.739031013726706,205.34489265718994,0.970285915010519,0.8909455575959647,10.809065306706005,212.9878001162177,0.9814053334427636,0.931375279493877
207,3.0,43.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.069362478442729,274.2593368634497,0.970766349146782,0.8911232615316049,9.867698201244508,208.46695967630282,0.969820714722585,0.8892317772757616,10.861488899451576,215.1684635055015,0.9810078759126304,0.9306726692245287
208,4.0,38.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.149133216192896,277.5232084100886,0.9702237113468355,0.8898012794762602,9.862345838485341,207.2551898931651,0.970182739606575,0.8904024335112408,10.746011026586636,214.26197332534454,0.9813547534601563,0.9309647405789484
