,layers,neurons,batch_size,Cloud,Pressure,Rel-hum,Dew-point,Wind_cos,Wind_sin,Wind_sp,P_lag_1,P_lag_2,P_lag_3,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,MSE_train,IA_train,R2_train,MAE_val,MSE_val,IA_val,R2_val,MAE_test,MSE_test,IA_test,R2_test
208,3.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.974078525602874,274.5914846410536,0.9709475553835587,0.8910332760835389,9.701562859235732,206.21239054212623,0.9706083506296732,0.8905923614250999,10.414703616449831,208.03595916643332,0.9822899207164574,0.932970763840794
209,3.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97845746098411,272.8733067550753,0.9709504486960959,0.8916493623755863,9.716439734693731,204.08189185861772,0.9707676014079734,0.8916997720820556,11.139200706147365,226.9188304509168,0.9792932044681422,0.9268866981640571
210,3.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97845746098411,272.8733067550753,0.9709504486960959,0.8916493623755863,9.716439734693731,204.08189185861772,0.9707676014079734,0.8916997720820556,11.139200706147365,226.9188304509168,0.9792932044681422,0.9268866981640571
211,1.0,44.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.033125532590132,274.58578240941057,0.9703500448457889,0.890925919848812,9.765260404037571,203.94829257426335,0.970236785258012,0.8914596384556113,10.797924978827021,214.12197946291099,0.9811394575752999,0.931009846635149
212,1.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.046464494544475,275.08948870613875,0.9703597790639382,0.8907649425025159,9.753111418366696,204.30497635339833,0.9703507700269605,0.8913580889165098,10.71543021047227,213.53282827483608,0.9812429544101678,0.931199671289873
213,1.0,44.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.027856023705045,274.50740261586236,0.970354297380589,0.8909486643537372,9.760836384444442,203.96203917433783,0.9702169543078573,0.8914266092800582,10.78389417876614,213.69304051224552,0.9812196391139769,0.9311480508683846
214,3.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.974078525602874,274.5914846410536,0.9709475553835587,0.8910332760835389,9.701562859235732,206.21239054212623,0.9706083506296732,0.8905923614250999,10.414703616449831,208.03595916643332,0.9822899207164574,0.932970763840794
215,1.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.08096594217232,275.6025197736668,0.970111080661702,0.8905903708459824,9.72117970587518,204.08634916135063,0.9703281750053478,0.8916882637584786,10.570993691515225,211.5032818669243,0.9818628818470888,0.9318535916314191
216,3.0,15.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.101316495713878,275.0736741940105,0.9703830259614659,0.8906413979264799,9.88486132714664,206.88220965448093,0.970139493395662,0.8908378964015331,11.030625797793386,221.0381342622098,0.9801654743403105,0.928781459892716
217,2.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.042080040505528,274.3183993654293,0.9707510141191029,0.8911012953302759,9.742343950953511,204.75343078208917,0.9707434876088666,0.8914550811625667,10.643126589508126,211.78279437615737,0.9814111581045802,0.9317635326336098
